forecast_date,inventory_week_start,store_id,store_name,region,product_id,product_name,category,supplier_id,supplier_name,supplier_lead_time_days,current_stock,forecast_demand,safety_stock,reorder_point,average_weekly_demand,projected_stock_after_forecast,weeks_of_supply,risk_status,risk_reason
2026-01-05,2025-12-29,S001,North Flagship 1,North,P019,Dish Soap 500ml,Household Essentials,SUP007,Household Supplier 1,6,189,52.32,24,95,55.0,136.68,3.4363636363636365,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P020,Laundry Detergent 1kg,Household Essentials,SUP008,Household Supplier 2,13,68,26.85,12,73,30.25,41.15,2.2479338842975207,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S001,North Flagship 1,North,P022,Trash Bags (30 pack),Household Essentials,SUP008,Household Supplier 2,13,452,82.7,38,227,86.25,369.3,5.240579710144927,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P023,All-Purpose Cleaner,Household Essentials,SUP007,Household Supplier 1,6,163,64.85,29,117,64.25,98.15,2.536964980544747,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P025,Toothpaste 100g,Personal Care,SUP009,Personal Supplier 1,18,231,44.05,21,167,49.75,186.95,4.64321608040201,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P027,Hand Sanitizer 200ml,Personal Care,SUP009,Personal Supplier 1,18,356,64.12,29,228,62.5,291.88,5.696,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P028,Shaving Cream,Personal Care,SUP010,Personal Supplier 2,15,475,79.59,35,210,79.5,395.40999999999997,5.9748427672955975,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S001,North Flagship 1,North,P029,Deodorant Spray,Personal Care,SUP009,Personal Supplier 1,18,113,27.1,12,95,29.0,85.9,3.896551724137931,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P001,Fresh Milk 1L,Perishables,SUP001,Perishables Supplier 1,13,193,43.97,19,112,47.5,149.03,4.063157894736842,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P002,Brown Bread,Perishables,SUP002,Perishables Supplier 2,21,262,22.32,10,79,25.5,239.68,10.27450980392157,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S002,North Standard 2,North,P003,Paneer 200g,Perishables,SUP001,Perishables Supplier 1,13,112,33.48,15,92,33.25,78.52000000000001,3.3684210526315788,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P004,Fresh Curd 500g,Perishables,SUP002,Perishables Supplier 2,21,394,54.99,23,184,56.0,339.01,7.035714285714286,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P006,Fresh Eggs (12),Perishables,SUP002,Perishables Supplier 2,21,254,35.67,14,108,34.25,218.32999999999998,7.416058394160584,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P008,Breakfast Cereal,Packaged Foods,SUP004,Packaged Supplier 2,21,454,35.86,15,118,35.0,418.14,12.971428571428572,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S002,North Standard 2,North,P010,Frozen Peas 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,101,28.33,12,93,29.75,72.67,3.3949579831932772,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P011,Pasta 500g,Packaged Foods,SUP003,Packaged Supplier 1,10,95,45.61,19,76,47.5,49.39,2.0,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P012,Ketchup 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,246,17.27,7,59,18.75,228.73,13.12,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S002,North Standard 2,North,P013,Cola 2L,Beverages,SUP005,Beverages Supplier 1,19,211,26.93,12,94,28.25,184.07,7.469026548672566,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P015,Mineral Water 1L,Beverages,SUP005,Beverages Supplier 1,19,418,39.21,17,135,41.5,378.79,10.072289156626505,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S002,North Standard 2,North,P016,Energy Drink Can,Beverages,SUP006,Beverages Supplier 2,15,173,52.36,24,147,53.25,120.64,3.248826291079812,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P017,Instant Coffee 100g,Beverages,SUP005,Beverages Supplier 1,19,661,53.11,23,186,57.25,607.89,11.54585152838428,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S002,North Standard 2,North,P019,Dish Soap 500ml,Household Essentials,SUP007,Household Supplier 1,6,88,38.32,16,62,36.5,49.68,2.410958904109589,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P020,Laundry Detergent 1kg,Household Essentials,SUP008,Household Supplier 2,13,111,17.41,8,48,20.5,93.59,5.414634146341464,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P021,Toilet Paper (6 pack),Household Essentials,SUP007,Household Supplier 1,6,128,50.82,24,97,55.25,77.18,2.316742081447964,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P022,Trash Bags (30 pack),Household Essentials,SUP008,Household Supplier 2,13,245,56.44,25,149,58.5,188.56,4.188034188034188,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P023,All-Purpose Cleaner,Household Essentials,SUP007,Household Supplier 1,6,42,44.68,19,77,45.75,-2.6799999999999997,0.9180327868852459,STOCKOUT_RISK,Forecast demand meets or exceeds current stock
2026-01-05,2025-12-29,S002,North Standard 2,North,P026,Body Wash 250ml,Personal Care,SUP010,Personal Supplier 2,15,146,63.32,25,152,69.25,82.68,2.108303249097473,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S002,North Standard 2,North,P027,Hand Sanitizer 200ml,Personal Care,SUP009,Personal Supplier 1,18,185,44.32,19,150,44.25,140.68,4.1807909604519775,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S002,North Standard 2,North,P029,Deodorant Spray,Personal Care,SUP009,Personal Supplier 1,18,182,17.55,8,62,20.5,164.45,8.878048780487806,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S002,North Standard 2,North,P030,Hair Oil 200ml,Personal Care,SUP010,Personal Supplier 2,15,105,35.74,15,89,38.0,69.25999999999999,2.763157894736842,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P001,Fresh Milk 1L,Perishables,SUP001,Perishables Supplier 1,13,53,43.15,18,110,47.0,9.850000000000001,1.127659574468085,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S003,North Standard 3,North,P002,Brown Bread,Perishables,SUP002,Perishables Supplier 2,21,92,23.64,10,78,25.5,68.36,3.607843137254902,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P004,Fresh Curd 500g,Perishables,SUP002,Perishables Supplier 2,21,284,53.14,23,180,49.5,230.86,5.737373737373737,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P007,Instant Noodles Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,23,25.56,11,42,25.0,-2.5599999999999987,0.92,STOCKOUT_RISK,Forecast demand meets or exceeds current stock
2026-01-05,2025-12-29,S003,North Standard 3,North,P008,Breakfast Cereal,Packaged Foods,SUP004,Packaged Supplier 2,21,426,35.63,14,115,35.75,390.37,11.916083916083917,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S003,North Standard 3,North,P009,Biscuits Family Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,27,26.41,11,43,28.25,0.5899999999999999,0.9557522123893806,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S003,North Standard 3,North,P010,Frozen Peas 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,202,27.39,11,91,30.5,174.61,6.622950819672131,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P012,Ketchup 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,172,17.25,7,57,18.0,154.75,9.555555555555555,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S003,North Standard 3,North,P015,Mineral Water 1L,Beverages,SUP005,Beverages Supplier 1,19,165,35.88,16,132,35.0,129.12,4.714285714285714,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P016,Energy Drink Can,Beverages,SUP006,Beverages Supplier 2,15,238,54.44,24,143,51.75,183.56,4.599033816425121,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P017,Instant Coffee 100g,Beverages,SUP005,Beverages Supplier 1,19,305,58.88,23,181,63.0,246.12,4.841269841269841,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P019,Dish Soap 500ml,Household Essentials,SUP007,Household Supplier 1,6,67,36.01,15,61,41.0,30.990000000000002,1.6341463414634145,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P020,Laundry Detergent 1kg,Household Essentials,SUP008,Household Supplier 2,13,95,19.83,8,47,16.25,75.17,5.846153846153846,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P021,Toilet Paper (6 pack),Household Essentials,SUP007,Household Supplier 1,6,120,54.72,24,94,57.25,65.28,2.096069868995633,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P022,Trash Bags (30 pack),Household Essentials,SUP008,Household Supplier 2,13,307,56.9,24,146,67.0,250.1,4.582089552238806,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S003,North Standard 3,North,P025,Toothpaste 100g,Personal Care,SUP009,Personal Supplier 1,18,395,31.14,13,107,31.75,363.86,12.440944881889763,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S003,North Standard 3,North,P026,Body Wash 250ml,Personal Care,SUP010,Personal Supplier 2,15,63,59.99,25,149,63.5,3.009999999999998,0.9921259842519685,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S003,North Standard 3,North,P028,Shaving Cream,Personal Care,SUP010,Personal Supplier 2,15,481,50.46,22,135,55.5,430.54,8.666666666666666,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S004,North Express 4,North,P001,Fresh Milk 1L,Perishables,SUP001,Perishables Supplier 1,13,35,20.08,9,54,21.25,14.920000000000002,1.6470588235294117,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S004,North Express 4,North,P002,Brown Bread,Perishables,SUP002,Perishables Supplier 2,21,19,9.73,5,38,10.5,9.27,1.8095238095238095,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S004,North Express 4,North,P003,Paneer 200g,Perishables,SUP001,Perishables Supplier 1,13,52,17.39,7,44,15.75,34.61,3.3015873015873014,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P004,Fresh Curd 500g,Perishables,SUP002,Perishables Supplier 2,21,127,25.06,11,89,26.5,101.94,4.7924528301886795,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P005,Butter 100g,Perishables,SUP001,Perishables Supplier 1,13,77,23.01,10,62,23.5,53.989999999999995,3.276595744680851,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P007,Instant Noodles Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,47,13.15,5,21,12.25,33.85,3.836734693877551,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P008,Breakfast Cereal,Packaged Foods,SUP004,Packaged Supplier 2,21,243,16.43,7,57,18.25,226.57,13.315068493150685,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S004,North Express 4,North,P009,Biscuits Family Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,9,13.08,5,21,14.5,-4.08,0.6206896551724138,STOCKOUT_RISK,Forecast demand meets or exceeds current stock
2026-01-05,2025-12-29,S004,North Express 4,North,P011,Pasta 500g,Packaged Foods,SUP003,Packaged Supplier 1,10,48,19.01,9,37,23.25,28.99,2.064516129032258,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P012,Ketchup 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,104,7.75,4,28,9.0,96.25,11.555555555555555,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S004,North Express 4,North,P013,Cola 2L,Beverages,SUP005,Beverages Supplier 1,19,117,12.53,6,45,14.75,104.47,7.932203389830509,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P015,Mineral Water 1L,Beverages,SUP005,Beverages Supplier 1,19,64,16.31,8,65,20.0,47.69,3.2,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S004,North Express 4,North,P016,Energy Drink Can,Beverages,SUP006,Beverages Supplier 2,15,91,27.95,12,71,27.5,63.05,3.309090909090909,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P018,Green Tea Box,Beverages,SUP006,Beverages Supplier 2,15,120,28.24,12,70,29.0,91.76,4.137931034482759,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P019,Dish Soap 500ml,Household Essentials,SUP007,Household Supplier 1,6,39,16.6,7,30,18.25,22.4,2.136986301369863,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P020,Laundry Detergent 1kg,Household Essentials,SUP008,Household Supplier 2,13,36,10.35,4,23,10.5,25.65,3.4285714285714284,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P023,All-Purpose Cleaner,Household Essentials,SUP007,Household Supplier 1,6,26,22.35,9,37,21.75,3.6499999999999986,1.1954022988505748,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S004,North Express 4,North,P024,Paper Towels (2 pack),Household Essentials,SUP008,Household Supplier 2,13,44,14.57,6,38,14.75,29.43,2.983050847457627,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P025,Toothpaste 100g,Personal Care,SUP009,Personal Supplier 1,18,19,15.52,7,53,14.5,3.4800000000000004,1.3103448275862069,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S004,North Express 4,North,P027,Hand Sanitizer 200ml,Personal Care,SUP009,Personal Supplier 1,18,186,20.0,9,72,22.25,166.0,8.359550561797754,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S004,North Express 4,North,P028,Shaving Cream,Personal Care,SUP010,Personal Supplier 2,15,76,25.15,11,66,28.5,50.85,2.6666666666666665,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S004,North Express 4,North,P029,Deodorant Spray,Personal Care,SUP009,Personal Supplier 1,18,103,7.69,4,30,8.0,95.31,12.875,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S004,North Express 4,North,P030,Hair Oil 200ml,Personal Care,SUP010,Personal Supplier 2,15,56,16.22,7,43,17.5,39.78,3.2,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P002,Brown Bread,Perishables,SUP002,Perishables Supplier 2,21,180,29.92,14,113,31.0,150.07999999999998,5.806451612903226,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P003,Paneer 200g,Perishables,SUP001,Perishables Supplier 1,13,219,54.41,22,130,56.0,164.59,3.9107142857142856,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P004,Fresh Curd 500g,Perishables,SUP002,Perishables Supplier 2,21,620,78.15,33,262,76.75,541.85,8.078175895765472,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S005,South Flagship 5,South,P005,Butter 100g,Perishables,SUP001,Perishables Supplier 1,13,283,72.14,30,182,82.75,210.86,3.419939577039275,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P006,Fresh Eggs (12),Perishables,SUP002,Perishables Supplier 2,21,251,44.14,19,154,48.5,206.86,5.175257731958763,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P008,Breakfast Cereal,Packaged Foods,SUP004,Packaged Supplier 2,21,516,51.37,21,168,50.25,464.63,10.26865671641791,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S005,South Flagship 5,South,P009,Biscuits Family Pack,Packaged Foods,SUP003,Packaged Supplier 1,10,72,39.44,16,63,41.0,32.56,1.7560975609756098,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P010,Frozen Peas 500g,Packaged Foods,SUP004,Packaged Supplier 2,21,313,39.54,17,133,40.5,273.46,7.728395061728395,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P011,Pasta 500g,Packaged Foods,SUP003,Packaged Supplier 1,10,122,63.29,27,109,67.5,58.71,1.8074074074074074,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P013,Cola 2L,Beverages,SUP005,Beverages Supplier 1,19,333,40.74,17,134,40.75,292.26,8.171779141104295,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S005,South Flagship 5,South,P015,Mineral Water 1L,Beverages,SUP005,Beverages Supplier 1,19,217,53.75,24,192,59.75,163.25,3.6317991631799162,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P016,Energy Drink Can,Beverages,SUP006,Beverages Supplier 2,15,165,80.2,35,209,86.0,84.8,1.9186046511627908,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S005,South Flagship 5,South,P017,Instant Coffee 100g,Beverages,SUP005,Beverages Supplier 1,19,1006,78.07,33,264,78.75,927.9300000000001,12.774603174603175,OVERSTOCK,Inventory covers at least 8 weeks of recent average demand
2026-01-05,2025-12-29,S005,South Flagship 5,South,P018,Green Tea Box,Beverages,SUP006,Beverages Supplier 2,15,450,76.96,34,207,73.5,373.04,6.122448979591836,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P020,Laundry Detergent 1kg,Household Essentials,SUP008,Household Supplier 2,13,130,25.64,11,68,24.5,104.36,5.3061224489795915,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P021,Toilet Paper (6 pack),Household Essentials,SUP007,Household Supplier 1,6,97,78.71,34,137,83.5,18.290000000000006,1.1616766467065869,LOW_STOCK,Projected stock after next-week demand falls below safety stock; Current stock is at or below reorder point
2026-01-05,2025-12-29,S005,South Flagship 5,South,P024,Paper Towels (2 pack),Household Essentials,SUP008,Household Supplier 2,13,183,45.39,19,112,48.25,137.61,3.7927461139896375,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P025,Toothpaste 100g,Personal Care,SUP009,Personal Supplier 1,18,343,44.19,20,156,50.5,298.81,6.792079207920792,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
2026-01-05,2025-12-29,S005,South Flagship 5,South,P026,Body Wash 250ml,Personal Care,SUP010,Personal Supplier 2,15,192,94.76,36,217,86.5,97.24,2.2196531791907512,LOW_STOCK,Current stock is at or below reorder point
2026-01-05,2025-12-29,S005,South Flagship 5,South,P028,Shaving Cream,Personal Care,SUP010,Personal Supplier 2,15,333,70.0,33,196,70.75,263.0,4.706713780918728,NORMAL,Stock exceeds next-week forecast and reorder point; projected stock meets safety stock; supply is below the overstock threshold
